game_id,home_team,away_team,status,espn_title,possession_home_pct,possession_away_pct,shots_on_target_home,shots_on_target_away,total_shots_match,xG_home,xG_away,big_chances_created_home,big_chances_created_away,big_chances_missed_home,big_chances_missed_away,accurate_passes_home,accurate_passes_home_pct,accurate_passes_away,accurate_passes_away_pct,duels_won_home,duels_won_away,saves_home,saves_away,fouls_home,fouls_away
760415,Mexico,South Africa,ok,"Mexico 2-0 South Africa (Jun 11, 2026) Team Stats - ESPN",60,40,4,2,19,1.46,0.07,2,0,0,0,,90,272,,47,33,2,2,12,11
760416,Canada,Bosnia & Herzegovina,ok,"Canada 1-1 Bosnia-Herz (Jun 12, 2026) Team Stats - ESPN",61,39,4,3,21,1.23,0.96,1,1,2,1,,74,172,,71,79,2,1,10,20
760417,USA,Paraguay,ok,"USA 4-1 Paraguay (Jun 12, 2026) Team Stats - ESPN",65,35,6,1,26,1.42,0.54,3,1,2,0,,85,232,,65,55,1,3,13,17
760418,Haiti,Scotland,ok,"Haiti 0-1 Scotland (Jun 13, 2026) Team Stats - ESPN",54,46,2,2,24,1.05,1.05,0,1,1,2,,85,307,,51,59,1,2,23,21
760419,Brazil,Morocco,ok,"Brazil 1-1 Morocco (Jun 13, 2026) Team Stats - ESPN",51,49,5,3,26,1.26,1.37,0,1,1,1,,87,419,,53,62,2,4,16,14
760420,Qatar,Switzerland,ok,"Qatar 1-1 Switzerland (Jun 13, 2026) Team Stats - ESPN",32,68,3,7,33,0.60,3.20,0,5,1,5,,72,527,,36,37,5,3,12,11
760421,Australia,Turkey,ok,"Australia 2-0 Türkiye (Jun 14, 2026) Team Stats - ESPN",28,72,4,8,39,1.18,1.36,1,2,0,2,,74,635,,42,46,8,2,12,4
760422,Germany,Curacao,ok,"Germany 7-1 Curaçao (Jun 14, 2026) Team Stats - ESPN",65,35,12,2,34,4.22,0.41,5,0,2,0,,87,282,,47,50,1,4,18,11
760423,South Korea,Czech Republic,ok,"Ivory Coast 1-0 Ecuador (Jun 14, 2026) Team Stats - ESPN",48,52,4,1,27,1.52,1.01,1,1,2,1,,84,419,,58,44,1,3,10,13
760424,Sweden,Tunisia,ok,"Sweden 5-1 Tunisia (Jun 14, 2026) Team Stats - ESPN",49,51,7,2,19,0,0,0,0,0,0,,78,292,,0,0,1,1,10,8
760425,Ivory Coast,Ecuador,ok,"Netherlands 2-2 Japan (Jun 14, 2026) Team Stats - ESPN",60,40,6,3,20,0.79,0.59,0,0,0,0,,88,286,,46,28,1,4,7,7
760426,Belgium,Egypt,ok,"Belgium 1-1 Egypt (Jun 15, 2026) Team Stats - ESPN",54,46,3,3,30,1.35,1.08,2,1,2,2,,86,323,,58,59,2,3,15,15
760427,Saudi Arabia,Uruguay,ok,"Iran 2-2 New Zealand (Jun 15, 2026) Team Stats - ESPN",48,52,4,8,31,0,0,0,0,0,0,,77,376,,0,0,6,2,10,8
760428,Spain,Cape Verde,ok,"Spain 0-0 Cape Verde (Jun 15, 2026) Team Stats - ESPN",74,26,7,1,33,2.10,0.20,2,1,2,1,,92,205,,40,40,1,7,10,1
760429,Iran,New Zealand,ok,"Saudi Arabia 1-1 Uruguay (Jun 15, 2026) Team Stats - ESPN",33,67,3,10,34,0.66,1.72,0,1,0,1,,73,540,,40,42,9,2,11,6
760430,Iraq,Norway,ok,"Iraq 1-4 Norway (Jun 16, 2026) Team Stats - ESPN",39,61,1,5,24,0.80,2.52,1,2,1,2,,81,477,,52,48,2,0,12,13
760431,Argentina,Algeria,ok,"Austria 3-1 Jordan (Jun 17, 2026) Team Stats - ESPN",63,37,4,4,23,1.69,0.46,1,0,3,0,,84,241,,44,48,3,1,12,7
760432,France,Senegal,ok,"France 3-1 Senegal (Jun 16, 2026) Team Stats - ESPN",53,47,8,2,17,1.79,0.53,4,1,2,2,,88,430,,44,35,2,5,5,9
760433,Austria,Jordan,ok,"Argentina 3-0 Algeria (Jun 16, 2026) Team Stats - ESPN",48,52,6,1,17,1.26,0.32,0,0,0,0,,90,563,,39,43,0,3,13,8
760434,Ghana,Panama,ok,"Ghana 1-0 Panama (Jun 17, 2026) Team Stats - ESPN",38,62,2,4,18,1.25,0.73,1,2,0,2,,83,503,,56,57,4,2,9,11
760435,Portugal,DR Congo,ok,"Portugal 1-1 Congo DR (Jun 17, 2026) Team Stats - ESPN",75,25,1,2,15,0.65,0.87,0,1,0,0,,92,195,,34,42,1,0,9,10
760436,Uzbekistan,Colombia,ok,"Uzbekistan 1-3 Colombia (Jun 17, 2026) Team Stats - ESPN",39,61,2,4,23,1.16,1.61,0,4,0,1,,76,444,,34,36,1,1,14,11
760437,England,Croatia,ok,"England 4-2 Croatia (Jun 17, 2026) Team Stats - ESPN",52,48,11,5,32,3.20,0.70,4,1,5,1,,86,381,,40,42,3,7,10,12
760438,Czech Republic,South Africa,ok,"Czechia 1-1 South Africa (Jun 18, 2026) Team Stats - ESPN",38,62,3,4,31,1.02,1.38,3,0,2,0,,80,508,,45,47,3,2,12,10
760439,Switzerland,Bosnia & Herzegovina,ok,"Switzerland 4-1 Bosnia-Herz (Jun 18, 2026) Team Stats - ESPN",62,38,7,3,18,2.06,0.23,3,0,1,0,,88,287,,52,38,2,3,7,18
760440,Canada,Qatar,"error: Page.wait_for_selector: Timeout 8000ms exceeded.
Call log:
  - waiting for locator(""text=Possession"") to be visible
    19 × locator resolved to 2 elements. Proceeding with the first one: <div class=""BrHjF azOPn "">This graph shows how much pressure a team applied…</div>
",,,,,,,,,,,,,,,,,,,,,,
760441,Mexico,South Korea,ok,"Mexico 1-0 South Korea (Jun 18, 2026) Team Stats - ESPN",42,58,4,2,17,0.53,0.91,1,2,1,3,,82,488,,42,47,2,3,9,7
760442,USA,Australia,ok,"USA 2-0 Australia (Jun 19, 2026) Team Stats - ESPN",62,38,2,2,16,1.08,0.35,1,0,1,0,,85,219,,59,64,2,1,12,16
760443,Turkey,Paraguay,ok,"Türkiye 0-1 Paraguay (Jun 19, 2026) Team Stats - ESPN",78,22,5,2,39,0,0.32,0,0,0,0,,89,96,,0,72,1,5,14,15
760444,Brazil,Haiti,ok,"Brazil 3-0 Haiti (Jun 19, 2026) Team Stats - ESPN",57,43,5,3,15,1.75,0.23,4,0,2,0,,88,332,,52,42,3,2,13,14
760445,Scotland,Morocco,ok,"Scotland 0-1 Morocco (Jun 19, 2026) Team Stats - ESPN",41,59,0,2,18,0.52,0.99,1,3,1,2,,85,600,,38,34,1,0,11,8
