game_id,match,status,espn_title,possession_home_pct,possession_away_pct,shots_on_target_home,shots_on_target_away,fouls_home,fouls_away,xG_home_espn,xG_away_espn,big_chances_created_home,big_chances_created_away,saves_home,saves_away,total_shots_match
760415,Mexico vs South Africa,ok,"Mexico 2-0 South Africa (Jun 11, 2026) Team Stats - ESPN",60,40,4,2,12,11,1.46,0.07,2,0,2,2,19
760416,Canada vs Bosnia & Herzegovina,ok,"Canada 1-1 Bosnia-Herz (Jun 12, 2026) Team Stats - ESPN",61,39,4,3,10,20,1.23,0.96,1,1,2,1,21
760417,USA vs Paraguay,ok,"USA 4-1 Paraguay (Jun 12, 2026) Team Stats - ESPN",65,35,6,1,13,17,1.42,0.54,3,1,1,3,26
760418,Haiti vs Scotland,ok,"Haiti 0-1 Scotland (Jun 13, 2026) Team Stats - ESPN",54,46,2,2,23,21,1.05,1.05,0,1,1,2,24
760419,Brazil vs Morocco,ok,"Brazil 1-1 Morocco (Jun 13, 2026) Team Stats - ESPN",51,49,5,3,16,14,1.26,1.37,0,1,2,4,26
760420,Qatar vs Switzerland,ok,"Qatar 1-1 Switzerland (Jun 13, 2026) Team Stats - ESPN",32,68,3,7,12,11,0.60,3.20,0,5,5,3,33
760421,Australia vs Turkey,ok,"Australia 2-0 Türkiye (Jun 14, 2026) Team Stats - ESPN",28,72,4,8,12,4,1.18,1.36,1,2,8,2,39
760422,Germany vs Curacao,ok,"Germany 7-1 Curaçao (Jun 14, 2026) Team Stats - ESPN",65,35,12,2,18,11,4.22,0.41,5,0,1,4,34
760423,South Korea vs Czech Republic,ok,"Ivory Coast 1-0 Ecuador (Jun 14, 2026) Team Stats - ESPN",48,52,4,1,10,13,1.52,1.01,1,1,1,3,27
760424,Sweden vs Tunisia,ok,"Sweden 5-1 Tunisia (Jun 14, 2026) Team Stats - ESPN",49,51,7,2,10,8,0,0,0,0,1,1,19
760425,Ivory Coast vs Ecuador,ok,"Netherlands 2-2 Japan (Jun 14, 2026) Team Stats - ESPN",60,40,6,3,7,7,0.79,0.59,0,0,1,4,20
760426,Belgium vs Egypt,ok,"Belgium 1-1 Egypt (Jun 15, 2026) Team Stats - ESPN",54,46,3,3,15,15,1.35,1.08,2,1,2,3,30
760427,Saudi Arabia vs Uruguay,ok,"Iran 2-2 New Zealand (Jun 15, 2026) Team Stats - ESPN",48,52,4,8,10,8,0,0,0,0,6,2,31
760428,Spain vs Cape Verde,ok,"Spain 0-0 Cape Verde (Jun 15, 2026) Team Stats - ESPN",74,26,7,1,10,1,2.10,0.20,2,1,1,7,33
760429,Iran vs New Zealand,ok,"Saudi Arabia 1-1 Uruguay (Jun 15, 2026) Team Stats - ESPN",33,67,3,10,11,6,0.66,1.72,0,1,9,2,34
760430,Iraq vs Norway,ok,"Iraq 1-4 Norway (Jun 16, 2026) Team Stats - ESPN",39,61,1,5,12,13,0.80,2.52,1,2,2,0,24
760431,Argentina vs Algeria,ok,"Austria 3-1 Jordan (Jun 17, 2026) Team Stats - ESPN",63,37,4,4,12,7,1.69,0.46,1,0,3,1,23
760432,France vs Senegal,ok,"France 3-1 Senegal (Jun 16, 2026) Team Stats - ESPN",53,47,8,2,5,9,1.79,0.53,4,1,2,5,17
760433,Austria vs Jordan,ok,"Argentina 3-0 Algeria (Jun 16, 2026) Team Stats - ESPN",48,52,6,1,13,8,1.26,0.32,0,0,0,3,17
760434,Ghana vs Panama,ok,"Ghana 1-0 Panama (Jun 17, 2026) Team Stats - ESPN",38,62,2,4,9,11,1.25,0.73,1,2,4,2,18
760435,Portugal vs DR Congo,ok,"Portugal 1-1 Congo DR (Jun 17, 2026) Team Stats - ESPN",75,25,1,2,9,10,0.65,0.87,0,1,1,0,15
760436,Uzbekistan vs Colombia,ok,"Uzbekistan 1-3 Colombia (Jun 17, 2026) Team Stats - ESPN",39,61,2,4,14,11,1.16,1.61,0,4,1,1,23
760437,England vs Croatia,ok,"England 4-2 Croatia (Jun 17, 2026) Team Stats - ESPN",52,48,11,5,10,12,3.20,0.70,4,1,3,7,32
760438,Czech Republic vs South Africa,ok,"Czechia 1-1 South Africa (Jun 18, 2026) Team Stats - ESPN",38,62,3,4,12,10,1.02,1.38,3,0,3,2,31
760439,Switzerland vs Bosnia & Herzegovina,ok,"Switzerland 4-1 Bosnia-Herz (Jun 18, 2026) Team Stats - ESPN",62,38,7,3,7,18,2.06,0.23,3,0,2,3,18
760440,Canada vs Qatar,ok,"Canada 6-0 Qatar (Jun 18, 2026) Team Stats - ESPN",79,21,10,0,9,10,4.60,0.22,4,0,0,4,35
760441,Mexico vs South Korea,ok,"Mexico 1-0 South Korea (Jun 18, 2026) Team Stats - ESPN",42,58,4,2,9,7,0.53,0.91,1,2,2,3,17
760442,USA vs Australia,"error: Page.wait_for_selector: Timeout 8000ms exceeded.
Call log:
  - waiting for locator(""text=Possession"") to be visible
    19 × locator resolved to 3 elements. Proceeding with the first one: <div class=""BrHjF azOPn "">This graph shows how much pressure a team applied…</div>
",,,,,,,,,,,,,,
760443,Turkey vs Paraguay,ok,"Türkiye 0-1 Paraguay (Jun 19, 2026) Team Stats - ESPN",78,22,5,2,14,15,0,0.32,0,0,1,5,39
760444,Brazil vs Haiti,ok,"Brazil 3-0 Haiti (Jun 19, 2026) Team Stats - ESPN",57,43,5,3,13,14,1.75,0.23,4,0,3,2,15
760445,Scotland vs Morocco,ok,"Scotland 0-1 Morocco (Jun 19, 2026) Team Stats - ESPN",41,59,0,2,11,8,0.52,0.99,1,3,1,0,18
